use,name,effect,presc,score
ADHD,Adderall,8.72,45.68,7.245244980035704
ADHD,Adderall XR,7.896551724137931,34.172413793103445,6.730722148196185
ADHD,Adzenys XR-ODT,5.5,8.0,6.71466870860962
ADHD,Amantadine,8.0,12.0,5.1337406888149335
ADHD,Amphetamine,6.454545454545454,6.181818181818182,6.432786570680618
ADHD,Amphetamine / dextroamphetamine,7.388888888888889,29.458333333333332,6.67061814101449
ADHD,Aptensio XR,5.0,3.5,7.1536365330138185
ADHD,Armodafinil,10.0,23.0,8.215482906027418
ADHD,Atomoxetine,5.625,35.25,6.603523008302827
ADHD,Bupropion,8.11111111111111,57.44444444444444,6.33879967229125
ADHD,Catapres,10.0,27.0,7.921906947449914
ADHD,Clonidine,9.75,75.75,7.162275567386756
ADHD,Concerta,6.870967741935484,42.29032258064516,6.484007018999291
ADHD,Cylert,9.333333333333334,9.666666666666666,7.430314942752958
ADHD,Daytrana,8.833333333333334,24.666666666666668,7.322333235663717
ADHD,Desoxyn,9.0,95.33333333333333,7.855494150585659
ADHD,Dexedrine,9.833333333333334,60.333333333333336,7.119798645440977
ADHD,Dexmethylphenidate,7.176470588235294,32.23529411764706,6.240846066757879
ADHD,Dextroamphetamine,8.875,33.0625,7.419737005712923
ADHD,Dyanavel XR,3.5,8.0,6.188150229109229
ADHD,Evekeo,8.75,8.0,6.552756378354819
ADHD,Focalin,7.571428571428571,40.857142857142854,7.282005262189939
ADHD,Focalin XR,9.0,38.833333333333336,6.841953112107763
ADHD,Guanfacine,6.190476190476191,46.38095238095238,6.672323343900083
ADHD,Intuniv,7.0,68.75,6.8408774257172675
ADHD,Kapvay,9.5,158.0,7.108549409327507
ADHD,Lisdexamfetamine,7.48,29.413333333333334,6.452000453037905
ADHD,Metadate CD,6.6,27.4,6.179022772840879
ADHD,Methamphetamine,8.0,42.142857142857146,6.562517956052304
ADHD,Methylphenidate,7.32051282051282,27.294871794871796,6.604002466087645
ADHD,Modafinil,9.0,107.0,6.25515614470521
ADHD,Pemoline,9.333333333333334,7.0,7.031400373514408
ADHD,ProCentra,10.0,2.0,8.074493292790843
ADHD,Quillivant XR,5.5,9.0,7.766485043905863
ADHD,Ritalin,8.0,40.7,7.220271097560908
ADHD,Ritalin LA,9.5,28.5,8.448949689862147
ADHD,Strattera,5.9743589743589745,32.51282051282051,6.641824708255128
ADHD,Vyvanse,8.333333333333334,34.46969696969697,6.954161213996536
ADHD,Zenzedi,9.4,12.8,7.6801677310136345
Abnormal Uterine Bleeding,Alesse,8.0,8.0,6.785657415594868
Abnormal Uterine Bleeding,Aviane,9.0,5.5,6.784380936320536
Abnormal Uterine Bleeding,Aygestin,1.0,16.0,7.003408356848098
Abnormal Uterine Bleeding,Balziva,6.0,1.0,3.1679462250521717
Abnormal Uterine Bleeding,Chateal,3.0,0.0,6.35504055965443
Abnormal Uterine Bleeding,Conjugated estrogens,5.0,4.5,5.903936259485562
Abnormal Uterine Bleeding,Cryselle,5.5,0.5,4.932051842715744
Abnormal Uterine Bleeding,Depo-Provera,2.8026315789473686,16.11842105263158,5.792303149068663
Abnormal Uterine Bleeding,Errin,5.0,36.0,6.103759405360511
Abnormal Uterine Bleeding,Ethinyl estradiol / etonogestrel,3.6666666666666665,0.0,4.112228197513029
Abnormal Uterine Bleeding,Ethinyl estradiol / levonorgestrel,3.5,3.611111111111111,6.168254856461276
Abnormal Uterine Bleeding,Ethinyl estradiol / norethindrone,5.352941176470588,13.0,6.050036982434796
Abnormal Uterine Bleeding,Ethinyl estradiol / norgestimate,3.966666666666667,5.533333333333333,5.728993436044645
Abnormal Uterine Bleeding,Ethinyl estradiol / norgestrel,5.25,1.0,5.3759601962234385
Abnormal Uterine Bleeding,Falmina,6.0,1.0,3.1679462250521717
Abnormal Uterine Bleeding,Gildess Fe 1 / 20,3.0,2.0,6.365695826414828
Abnormal Uterine Bleeding,Jolessa,3.0,6.0,6.418151082737053
Abnormal Uterine Bleeding,Jolivette,2.0,15.0,8.025552889864404
Abnormal Uterine Bleeding,Junel Fe 1 / 20,6.0,19.5,3.652834319433092
Abnormal Uterine Bleeding,Junel Fe 1.5 / 30,1.0,2.0,6.169373881075924
Abnormal Uterine Bleeding,Levonorgestrel,5.212765957446808,15.170212765957446,6.197900112952028
Abnormal Uterine Bleeding,LoSeasonique,3.0,5.5,4.400813356825903
Abnormal Uterine Bleeding,Loestrin 24 Fe,6.714285714285714,14.714285714285714,5.875350263002657
Abnormal Uterine Bleeding,Lutera,4.0,4.0,8.182756085676182
Abnormal Uterine Bleeding,Medroxyprogesterone,3.0875,16.0375,5.8414393607746975
Abnormal Uterine Bleeding,Megestrol,7.833333333333333,16.833333333333332,6.597732578527361
Abnormal Uterine Bleeding,Mirena,4.910714285714286,15.535714285714286,6.338586331115017
Abnormal Uterine Bleeding,Mononessa,9.0,17.25,6.187723676711407
Abnormal Uterine Bleeding,Nora-Be,8.0,27.5,6.6779437283524885
Abnormal Uterine Bleeding,Norethindrone,4.181818181818182,12.545454545454545,6.485403711282453
Abnormal Uterine Bleeding,Ortho Micronor,10.0,61.0,7.879508924206853
Abnormal Uterine Bleeding,Ortho Tri-Cyclen Lo,9.0,13.0,6.3732589822241685
Abnormal Uterine Bleeding,Previfem,4.0,0.3333333333333333,5.450587587187338
Abnormal Uterine Bleeding,Provera,4.111111111111111,56.888888888888886,5.960728963289102
Abnormal Uterine Bleeding,Quasense,4.0,2.0,7.884224520147357
Abnormal Uterine Bleeding,Seasonique,2.75,13.625,5.801859003126032
Abnormal Uterine Bleeding,Sprintec,4.0,8.428571428571429,6.950902983647714
Abnormal Uterine Bleeding,Sronyx,10.0,10.0,8.574485878929147
Abnormal Uterine Bleeding,Tri-Lo-Sprintec,1.0,5.0,4.884977122534999
Abnormal Uterine Bleeding,Tri-Previfem,5.0,14.0,5.650188340164572
Abnormal Uterine Bleeding,Tri-Sprintec,5.0,10.222222222222221,5.710170712740945
Abnormal Uterine Bleeding,TriNessa,6.0,6.5,5.118647211089899
Acetaminophen Overdose,Acetylcysteine,9.0,14.0,7.475096634526175
Acne,Absorica,1.0,4.0,6.548256302136768
Acne,Acanya,7.777777777777778,10.0,6.662030784775169
Acne,Accutane,8.287878787878787,30.78787878787879,7.013003970976288
Acne,Aczone,7.535714285714286,14.035714285714286,7.237903311132526
Acne,Adapalene,7.2105263157894735,16.026315789473685,6.951499083601083
Acne,Adapalene / benzoyl peroxide,7.202702702702703,9.04054054054054,6.824203341690729
Acne,Adoxa,10.0,42.0,8.05477107192397
Acne,Aldactone,9.0,141.0,8.77670866842143
Acne,Amnesteem,8.0,9.0,7.828314657173991
Acne,Atralin,7.714285714285714,36.57142857142857,6.627846534359105
Acne,Azelaic acid,10.0,35.666666666666664,8.082009049776707
Acne,Bactrim,8.25,24.0,7.5751343682530745
Acne,Bactrim DS,8.0,47.0,7.930865919977718
Acne,BenzEFoam,9.0,25.0,6.241811744290403
Acne,Benzaclin,7.0,12.0,5.629165689623612
Acne,Benzamycin,1.0,8.0,5.707023638890452
Acne,Benzoyl peroxide,8.0,13.0,8.19204655498801
